 Delete previous filelist 
Grid  0 Read!
RMS Solution read!
nk =  1       ze =  12
xi       et       ze       x       y       z
 60        22        12        -0.436         0.084         0.084
 70        29        12        -0.418         0.102         0.084
 80        34        12        -0.394         0.118         0.084
 90        39        12        -0.367         0.136         0.084
100        44        12        -0.337         0.155         0.084
110        48        12        -0.300         0.172         0.084
120        54        12        -0.265         0.199         0.084
130        59        12        -0.225         0.224         0.084
140        62        12        -0.175         0.239         0.084
nk =  2       ze =  37
xi       et       ze       x       y       z
 60        22        37        -0.436         0.084         0.029
 70        29        37        -0.418         0.102         0.029
 80        34        37        -0.394         0.118         0.029
 90        39        37        -0.367         0.136         0.029
100        44        37        -0.337         0.155         0.029
110        49        37        -0.303         0.176         0.029
120        53        37        -0.263         0.194         0.029
130        58        37        -0.222         0.218         0.029
140        63        37        -0.178         0.245         0.029
nk =  3       ze =  62
xi       et       ze       x       y       z
 60        23        62        -0.437         0.085        -0.026
 70        29        62        -0.418         0.102        -0.026
 80        34        62        -0.394         0.118        -0.026
 90        39        62        -0.367         0.136        -0.026
100        43        62        -0.335         0.152        -0.026
110        49        62        -0.303         0.176        -0.026
120        53        62        -0.263         0.194        -0.026
130        58        62        -0.222         0.218        -0.026
140        61        62        -0.172         0.233        -0.026
nk =  4       ze =  87
xi       et       ze       x       y       z
 60        22        87        -0.436         0.084        -0.081
 70        29        87        -0.418         0.102        -0.081
 80        34        87        -0.394         0.118        -0.081
 90        39        87        -0.367         0.136        -0.081
100        44        87        -0.337         0.155        -0.081
110        48        87        -0.300         0.172        -0.081
120        55        87        -0.268         0.204        -0.081
130        57        87        -0.219         0.213        -0.081
140        64        87        -0.181         0.252        -0.081
 Finished.
